year,lat,lon,flag,total_effort,total_catch
1984,4.5,147.5,JP,26.7,639.999
1984,4.5,148.5,JP,42.1,1413.399
1984,4.5,149.5,JP,22.83,585.499
1984,-3.5,144.5,JP,8.74,173
1984,-3.5,145.5,JP,102.57,2655.2019999999998
1984,-3.5,146.5,JP,53.81,1380.999
1984,-3.5,147.5,JP,8.51,149.99900000000002
1984,-3.5,148.5,JP,5.78,57.99900000000001
1984,5.5,137.5,JP,9.57,128.001
1984,5.5,138.5,JP,16.96,417
1984,5.5,139.5,JP,32.81,378.899
1984,5.5,140.5,JP,14.06,147
1984,5.5,141.5,JP,7.2,175.001
1984,5.5,142.5,JP,7.2,46.001
1984,5.5,143.5,JP,12.33,326.99899999999997
1984,5.5,144.5,JP,28.47,732.001
1984,5.5,145.5,JP,35.58,1084
1984,5.5,146.5,JP,41.29,1228.9999999999998
1984,5.5,147.5,JP,42.23,1723.998
1984,5.5,148.5,JP,22.58,873.001
1984,-4.5,146.5,JP,15,200.99899999999997
1984,-4.5,147.5,JP,41.4,953.998
1984,-4.5,148.5,JP,2.81,37
1984,6.5,139.5,JP,4.81,25
1984,6.5,143.5,JP,8.24,130
1984,6.5,144.5,JP,7.55,235.00200000000004
1984,6.5,145.5,JP,20.09,418.50100000000003
1984,6.5,146.5,JP,20.57,677
1984,6.5,147.5,JP,12.12,142.00000000000003
1984,6.5,148.5,JP,22.14,377
1984,7.5,145.5,JP,9.31,98.99999999999999
1984,7.5,146.5,JP,5.92,56.99999999999999
1984,-2.5,156.5,KR,8.35,62.145
1984,-36.5,176.5,NZ,19.14,502
1984,-37.5,176.5,NZ,57.58,1521
1984,-37.5,177.5,NZ,34.59,747
1984,3.5,141.5,JP,40.98,805.999
1984,-2.5,144.5,JP,7,95
1984,4.5,133.5,JP,6.5,10
1984,4.5,136.5,JP,15.51,113.99999999999999
1984,4.5,138.5,JP,55.6,929
1984,4.5,141.5,JP,7.29,71.99999999999999
1984,5.5,133.5,JP,11.13,105
1984,5.5,134.5,JP,4.99,58
1984,5.5,136.5,JP,18.38,262.00100000000003
1984,5.5,137.5,JP,48.65,1317
1984,5.5,138.5,JP,87.93,1672.6000000000001
1984,5.5,139.5,JP,59.93,1989.998
1984,5.5,140.5,JP,30.28,916.9989999999999
1984,5.5,141.5,JP,19.86,674.9999999999999
1984,5.5,142.5,JP,6.85,193
1984,5.5,143.5,JP,3.43,42
1984,5.5,144.5,JP,6,132.002
1984,5.5,145.5,JP,19.31,444.00000000000006
1984,5.5,146.5,JP,9.24,264
